DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2012,5,1,400 S 200 E,40.760424,-111.88529409999998
Traffic,1,1,2012,5,1,400 S STATE ST,40.7624883,-111.8885499
Traffic,1,1,2012,5,1,400 S MAIN ST,40.76090070000001,-111.890956
Traffic,1,1,2012,1,1,1000 E 300 S,40.762405,-111.8623212
Traffic,1,1,2012,1,1,200 S STATE ST,40.7266963,-111.88732040000002
Assault,1,1,2012,5,1,1000 W 600 N,40.7823843,-111.9196916
Assault,1,1,2012,1,1,2100 W NORTH TEMPLE ST,40.7702718,-111.9533986
Traffic,1,1,2012,1,1,400 S 200 W,40.76058610000001,-111.8968186
Traffic,1,1,2012,1,1,100 W 400 S,40.760712100000006,-111.89396
Drugs,1,1,2012,1,1,600 S WEST TEMPLE ST,40.7562945,-111.89396399999998
Damaged Property,1,1,2012,1,1,100 W 600 S,40.7562945,-111.89396399999998
Traffic,1,1,2012,2,1,00 S 300 E,40.7218281,-111.8809686
Traffic,1,1,2012,2,1,500 E 2100 S,40.725607,-111.8771244
Burglary/ Larceny/ Robbery,1,1,2012,2,1,1400 E PARKWAY AVE,40.7180568,-111.8507413
Weapons,1,1,2012,5,1,1200 S PROSPECT ST,40.743225,-111.9376548
Assault,1,1,2012,1,1,200 S WEST TEMPLE ST,40.7650123,-111.8939666
Assault,1,1,2012,1,1,100 W 600 S,40.7562945,-111.89396399999998
Assault,1,1,2012,2,1,1000 S CONCORD ST,40.7477665,-111.9267112
Burglary/ Larceny/ Robbery,1,1,2012,1,1,100 S 600 W,40.7670915,-111.9082485
Assault,1,1,2012,1,1,100 N REDWOOD RD,40.7716848,-111.93884640000002
Assault,1,1,2012,1,1,400 E SOUTH TEMPLE ST,40.7693492,-111.8796468
Assault,1,1,2012,1,1,1300 S STATE ST,40.74119620000001,-111.8885251
Burglary/ Larceny/ Robbery,1,1,2012,2,1,1600 S REDWOOD RD,40.73546339999999,-111.9401703
Burglary/ Larceny/ Robbery,1,1,2012,2,1,2100 S 700 E,40.72497570000001,-111.8724847
Assault,1,1,2012,2,1,1900 W NORTH TEMPLE ST,40.7721944,-111.9457223
Damaged Property,1,1,2012,4,1,700 N TERMINAL DR,40.780221,-111.9808484
Traffic,1,1,2012,1,1,FOOTHILL DR / MARIO CAPECCHI DR,40.757202,-111.8360353
Assault,1,1,2012,3,1,1500 S STATE ST,40.7364728,-111.8877563
Damaged Property,1,1,2012,4,1,100 E BELMONT AVE,40.7478355,-111.8878608
Burglary/ Larceny/ Robbery,1,1,2012,2,1,200 S WEST TEMPLE ST,40.7650123,-111.8939666
Burglary/ Larceny/ Robbery,1,1,2012,5,1,500 W ECCLES AVE,40.7402624,-111.9067769
Assault,1,1,2012,3,1,300 W 500 N,40.7802154,-111.8997585
Damaged Property,1,1,2012,2,1,100 W 300 S,40.7629001,-111.8939572
Sexual Assault/ Sexual Offense,1,1,2012,2,1,200 S WEST TEMPLE ST,40.7650123,-111.8939666
Drugs,1,1,2012,4,1,1000 W 800 N,40.7866389,-111.92011200000002
Burglary/ Larceny/ Robbery,1,1,2012,4,1,100 W PIERPONT AVE,40.7639241,-111.8939909
Burglary/ Larceny/ Robbery,1,1,2012,3,1,02 0/2 S RIO GRANDE ST,40.7695933,-111.9046351
Burglary/ Larceny/ Robbery,1,1,2012,3,1,1900 S 3230 W,40.7298525,-111.96912079999998
Burglary/ Larceny/ Robbery,1,1,2012,3,1,400 S REDWOOD RD,40.6847133,-111.9414839
Weapons,1,1,2012,1,1,700 N TERMINAL NORTHBOUND DR,40.7899404,-111.9790706
Assault,1,1,2012,5,1,800 W MONTAGUE AVE,40.7541734,-111.9138376
Drugs,1,1,2012,6,1,1300 S MAIN ST,40.7415981,-111.891078
Assault,1,1,2012,6,1,300 E SHERMAN AVE,40.7407881,-111.88250990000002
Weapons,1,1,2012,6,1,900 S 800 W,40.7497652,-111.9140166
Burglary/ Larceny/ Robbery,1,1,2012,5,1,200 W 500 S,40.75847260000001,-111.8968085
Assault,1,1,2012,2,1,1300 N GENERAL DR,40.7989291,-111.9478006
Burglary/ Larceny/ Robbery,1,1,2012,5,1,500 W SOUTH TEMPLE ST,40.7696492,-111.9082659
Assault,1,1,2012,5,1,1000 S EMERY ST,40.7477555,-111.9247065
Burglary/ Larceny/ Robbery,1,1,2012,5,1,WEST TEMPLE ST / PIERPONT AVE,40.7639241,-111.8939627
Burglary/ Larceny/ Robbery,1,1,2012,6,1,600 S STATE ST,40.7560063,-111.88974650000002
Assault,1,1,2012,6,1,100 S RIO GRANDE ST,40.76743920000001,-111.9035958
Assault,1,1,2012,7,1,1100 S 500 E,40.7450975,-111.8770687
Damaged Property,1,1,2012,6,1,1600 S 1100 E,40.7347711,-111.8598628
Burglary/ Larceny/ Robbery,1,1,2012,6,1,100 W GIRARD AVE,40.7812893,-111.8936047
Traffic,1,1,2012,4,1,1500 W SECRET GARDEN PL,40.7346987,-111.9375937
Burglary/ Larceny/ Robbery,1,1,2012,5,1,3200 S 1300 E,40.7012789,-111.855471
Traffic,1,1,2012,8,1,500 N TERMINAL NORTHBOUND DR,40.7899404,-111.9790706
Assault,1,1,2012,6,1,700 W NORTH TEMPLE ST,40.771593,-111.9104414
Damaged Property,1,1,2012,7,1,2800 E CRAIG DR,40.6916209,-111.8125617
Burglary/ Larceny/ Robbery,1,1,2012,7,1,1400 S STATE ST,40.7364728,-111.8877563
Drugs,1,1,2012,2,1,400 N CENTER ST,40.7783937,-111.8939217
Drugs,1,1,2012,6,1,300 W 1700 S,40.7335228,-111.8990624
Damaged Property,1,1,2012,7,1,200 N 1000 W,40.7737717,-111.9196467
Burglary/ Larceny/ Robbery,1,1,2012,7,1,400 S 700 E,40.7604266,-111.8712065
Burglary/ Larceny/ Robbery,1,1,2012,8,1,1600 S NAVAJO ST,40.7344525,-111.9304278
Assault,1,1,2012,8,1,1100 W 400 S,40.7606591,-111.9222428
Burglary/ Larceny/ Robbery,1,1,2012,8,1,900 W NORTH TEMPLE ST,40.7717949,-111.9172021
Traffic,1,1,2012,8,1,1900 W 500 S,40.7588706,-111.9429626
Burglary/ Larceny/ Robbery,1,1,2012,6,1,100 W 500 S,40.7584778,-111.8939592
Sexual Assault/ Sexual Offense,1,1,2012,2,1,300 E 800 S,40.7519481,-111.882496
Drugs,1,1,2012,5,1,2000 S 500 E,40.7265689,-111.87718429999998
Burglary/ Larceny/ Robbery,1,1,2012,1,1,2500 S 600 E,40.7163093,-111.874302
Traffic,1,1,2012,2,1,400 N CENTER ST,40.7783937,-111.8939217
Traffic,1,1,2012,6,1,1300 E 2700 S,40.7126852,-111.85354270000002
Burglary/ Larceny/ Robbery,1,1,2012,6,1,300 W HOPE AVE,40.7389021,-111.8996891
Damaged Property,1,1,2012,1,1,00 S WEST TEMPLE ST,40.76552750000001,-111.8934912
Burglary/ Larceny/ Robbery,1,1,2012,5,1,300 N EAST CAPITOL BLVD,40.7760009,-111.8867035
Damaged Property,1,1,2012,6,1,1100 S 1100 W,40.7456158,-111.9225097
Damaged Property,1,1,2012,8,1,5000 W WILEY POST WAY,40.7735187,-112.0126999
Burglary/ Larceny/ Robbery,1,1,2012,8,1,500 W 400 N,40.778448,-111.9056556
Damaged Property,1,1,2012,4,1,200 W 400 S,40.7607174,-111.8968168
Damaged Property,1,1,2012,4,1,100 W 600 S,40.7562945,-111.89396399999998
Damaged Property,1,1,2012,5,1,00 S 600 W,40.7635558,-111.9087296
Burglary/ Larceny/ Robbery,1,1,2012,6,1,00 W 200 S,40.76476299999999,-111.89582079999998
Burglary/ Larceny/ Robbery,1,1,2012,6,1,00 W 300 S,40.760345,-112.03592
Burglary/ Larceny/ Robbery,1,1,2012,6,1,200 N WEST TEMPLE ST,40.7718923,-111.8963035
Burglary/ Larceny/ Robbery,1,1,2012,6,1,200 W PIERPONT AVE,40.7639209,-111.8967905
Traffic,1,1,2012,3,1,500 N TERMINAL NORTHBOUND DR,40.7899404,-111.9790706
Burglary/ Larceny/ Robbery,1,1,2012,5,1,200 S 500 W,40.7644537,-111.9054265
Assault,1,1,2012,8,1,1500 W 500 N,40.7804216,-111.933595
Assault,1,1,2012,5,1,300 E 300 S,40.7627881,-111.8824454
Traffic,1,1,2012,5,1,600 W 400 S,40.7606175,-111.90793870000002
Burglary/ Larceny/ Robbery,1,1,2012,1,1,300 S 600 W,40.7635558,-111.9087296
Burglary/ Larceny/ Robbery,1,1,2012,1,1,00 S 500 W,40.7402624,-111.9067769
Sexual Assault/ Sexual Offense,1,1,2012,1,1,1200 W 700 S,40.75412100000001,-111.92594
Burglary/ Larceny/ Robbery,1,1,2012,5,1,1200 S REDWOOD RD,40.7436371,-111.9390223
Burglary/ Larceny/ Robbery,1,1,2012,5,1,400 N 1100 W,40.778023,-111.922558
Sexual Assault/ Sexual Offense,1,1,2012,5,1,200 N 200 W,40.7781149,-111.896592
Burglary/ Larceny/ Robbery,1,1,2012,5,1,1300 S UTAH ST,40.7413955,-111.9373311
Burglary/ Larceny/ Robbery,1,1,2012,1,1,700 S WEST TEMPLE ST,40.7539346,-111.89396409999998
Sexual Assault/ Sexual Offense,1,1,2012,5,1,1500 W 800 S,40.75250689999999,-111.9340263
Sexual Assault/ Sexual Offense,1,1,2012,1,1,900 W CALIFORNIA AVE,40.7406246,-111.9170531
Drugs,2,1,2012,5,2,300 S 500 W,40.7628188,-111.904821
