DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2014,1,4,200 E 500 S,40.7584619,-111.8853584
Traffic,1,1,2014,5,4,700 N 300 W,40.78428830000001,-111.8996124
Traffic,1,1,2014,1,4,200 S WEST TEMPLE ST,40.7650123,-111.8939666
Traffic,1,1,2014,1,4,100 W PIERPONT AVE,40.7639241,-111.8939909
Drugs,1,1,2014,1,4,400 E 400 S,40.761055,-111.883181
Traffic,1,1,2014,1,4,1300 S 200 E,40.7414025,-111.8857281
Traffic,1,1,2014,1,4,200 S 200 W,40.7649874,-111.8968736
Burglary/ Larceny/ Robbery,1,1,2014,1,4,600 E RAMONA AVE,40.7278982,-111.8739317
Assault,1,1,2014,1,4,300 W 1500 S,40.7371454,-111.8997153
Assault,1,1,2014,1,4,500 S MAIN ST,40.75741259999999,-111.8926615
Assault,1,1,2014,2,4,100 S 400 W,40.7690795,-111.90461670000002
Damaged Property,1,1,2014,2,4,00 S ELIZABETH ST,40.7675609,-111.8577352
Damaged Property,1,1,2014,5,4,1300 W PACIFIC AVE,40.7598053,-111.9284757
Assault,1,1,2014,1,4,100 W 300 S,40.7629001,-111.8939572
Traffic,1,1,2014,3,4,200 S 900 W,40.7649838,-111.9168296
Assault,1,1,2014,5,4,100 W 600 S,40.7562945,-111.89396399999998
Assault,1,1,2014,1,4,500 N 800 W,40.7802533,-111.91398390000002
Assault,1,1,2014,1,4,2900 S HIGHLAND DR,40.708022,-111.8538847
Assault,1,1,2014,1,4,00 E 1700 S,40.7335004,-111.8532941
Burglary/ Larceny/ Robbery,1,1,2014,3,4,100 S 800 E,40.7671763,-111.8681356
Damaged Property,1,1,2014,6,4,1600 S 800 E,40.73475620000001,-111.8685145
Assault,1,1,2014,3,4,1600 W 400 S,40.7605833,-111.9355279
Sexual Assault/ Sexual Offense,1,1,2014,3,4,1800 S STATE ST,40.7304705,-111.8874912
Burglary/ Larceny/ Robbery,1,1,2014,4,4,300 E 1700 S,40.7335229,-111.8825247
Damaged Property,1,1,2014,2,4,1300 W 900 S,40.7505045,-111.92828529999998
Burglary/ Larceny/ Robbery,1,1,2014,1,4,2900 S HIGHLAND DR,40.708022,-111.8538847
Damaged Property,1,1,2014,2,4,1000 N VALENTINE ST,40.7910526,-111.92618020000002
Damaged Property,1,1,2014,1,4,600 S MAIN ST,40.756279000000006,-111.8911951
Damaged Property,1,1,2014,5,4,200 S WEST TEMPLE ST,40.7650123,-111.8939666
Assault,1,1,2014,4,4,600 N SIR PHILIP DR,40.7825126,-111.9475247
Drugs,1,1,2014,1,4,00 S RIO GRANDE ST,40.7631836,-111.9045285
Traffic,1,1,2014,5,4,900 N RIVERSIDE DR,40.7887723,-111.9368842
Traffic,1,1,2014,4,4,2000 S REDWOOD RD,40.727243,-111.9390843
Burglary/ Larceny/ Robbery,1,1,2014,5,4,900 E 2100 S,40.7242836,-111.8647183
Weapons,1,1,2014,7,4,900 S WEST TEMPLE ST,40.7497827,-111.89395079999998
Burglary/ Larceny/ Robbery,1,1,2014,6,4,3200 S RICHMOND ST,40.7012805,-111.8554678
Assault,1,1,2014,6,4,200 S MAIN ST,40.76502120000001,-111.8911299
Traffic,1,1,2014,7,4,300 W 100 S,40.76717439999999,-111.8999246
Traffic,1,1,2014,7,4,1600 W 400 S,40.7605833,-111.9355279
Traffic,1,1,2014,8,4,200 S 500 W,40.7644537,-111.9054265
Traffic,1,1,2014,5,4,600 S STATE ST,40.7560063,-111.88974650000002
Burglary/ Larceny/ Robbery,1,1,2014,6,4,100 W 200 S,40.7650126,-111.8939916
Burglary/ Larceny/ Robbery,1,1,2014,7,4,100 N SUN ARBOR TE,40.7716307,-111.9449454
Burglary/ Larceny/ Robbery,1,1,2014,7,4,700 S REDWOOD RD,40.7540183,-111.9390247
Burglary/ Larceny/ Robbery,1,1,2014,5,4,500 S MAIN ST,40.75741259999999,-111.8926615
Burglary/ Larceny/ Robbery,1,1,2014,6,4,1600 S FOOTHILL DR,40.7356272,-111.8220903
Damaged Property,1,1,2014,8,4,900 N 900 W,40.7890566,-111.9161235
Burglary/ Larceny/ Robbery,1,1,2014,8,4,900 N 900 W,40.7890566,-111.9161235
Traffic,1,1,2014,7,4,00 E 200 S,40.7647592,-111.88644920000002
Traffic,1,1,2014,6,4,900 S 700 E,40.7493244,-111.8714393
Traffic,1,1,2014,6,4,600 E 18TH AVE,40.7888489,-111.87092859999998
Traffic,1,1,2014,6,4,400 E 2100 S,40.72484910000001,-111.8775343
Traffic,1,1,2014,8,4,800 N SIR MICHAEL DR,40.7866562,-111.94694950000002
Assault,1,1,2014,5,4,1800 S STATE ST,40.7304705,-111.8874912
Burglary/ Larceny/ Robbery,1,1,2014,8,4,1400 S WEST TEMPLE ST,40.7380118,-111.8942417
Burglary/ Larceny/ Robbery,1,1,2014,8,4,200 S RIO GRANDE ST,40.76490689999999,-111.904099
Traffic,1,1,2014,3,4,600 S CHEYENNE ST,40.756384,-111.934358
Traffic,1,1,2014,6,4,500 S 400 E,40.7584601,-111.87965520000002
Traffic,1,1,2014,6,4,200 S 800 E,40.7650098,-111.8682744
Burglary/ Larceny/ Robbery,1,1,2014,6,4,300 S REDWOOD RD,40.8335161,-111.936125
Drugs,1,1,2014,5,4,200 S 400 W,40.76492210000001,-111.9026345
Damaged Property,1,1,2014,5,4,500 E 1300 S,40.74165,-111.87678970000002
Damaged Property,1,1,2014,4,4,1300 S MONTGOMERY ST,40.7413365,-111.9360059
Burglary/ Larceny/ Robbery,1,1,2014,6,4,400 E 200 S,40.7649638,-111.8794103
Burglary/ Larceny/ Robbery,1,1,2014,4,4,1000 E SOUTH TEMPLE ST,40.7693533,-111.862518
Damaged Property,1,1,2014,6,4,4900 W WILEY POST WAY,40.7741383,-112.0083568
Sexual Assault/ Sexual Offense,1,1,2014,3,4,700 S 800 W,40.7541167,-111.9140592
Burglary/ Larceny/ Robbery,1,1,2014,5,4,200 W 300 S,40.76290729999999,-111.896798
Burglary/ Larceny/ Robbery,1,1,2014,3,4,1400 W PACIFIC AVE,40.7597696,-111.9313812
Burglary/ Larceny/ Robbery,1,1,2014,1,4,3000 W CALIFORNIA AVE,40.7404131,-111.963634
Burglary/ Larceny/ Robbery,1,1,2014,5,4,1200 N MORTON DR,40.7992551,-111.9469114
Burglary/ Larceny/ Robbery,2,1,2014,5,5,700 W NORTH TEMPLE ST,40.771593,-111.9104414
Damaged Property,2,1,2014,1,5,400 W 300 S,40.762841,-111.9028043
Traffic,2,1,2014,3,5,3700 W TERMINAL DR,40.789112,-111.972014
Traffic,2,1,2014,4,5,3800 W CALIFORNIA AVE,40.7418205,-111.9830789
Traffic,2,1,2014,4,5,1300 W CALIFORNIA AVE,40.7406814,-111.9288087
Burglary/ Larceny/ Robbery,2,1,2014,3,5,1400 S 2300 E,40.74109,-111.8251449
Traffic,2,1,2014,3,5,2300 W 100 N,40.7214163,-111.9507558
Assault,2,1,2014,1,5,600 N SIR PHILIP DR,40.7825126,-111.9475247
Assault,2,1,2014,1,5,1800 W INDEPENDENCE BLVD,40.8017545,-111.9419335
Traffic,2,1,2014,1,5,3900 W CALIFORNIA AVE,40.7424834,-111.985721
Burglary/ Larceny/ Robbery,2,1,2014,4,5,900 S 300 E,40.7497401,-111.8829787
Damaged Property,2,1,2014,6,5,400 S 1000 W,40.7605502,-111.919906
Drugs,2,1,2014,6,5,700 E 300 S,40.76274420000001,-111.8707484
Assault,2,1,2014,5,5,1400 W INDIANA AVE,40.7512672,-111.9308187
Drugs,2,1,2014,8,5,300 W 500 N,40.7802154,-111.8997585
Drugs,2,1,2014,5,5,800 E 300 S,40.7625096,-111.86807079999998
Burglary/ Larceny/ Robbery,2,1,2014,4,5,100 N 900 W,40.7717239,-111.9167242
Drugs,2,1,2014,6,5,200 S 400 W,40.76492210000001,-111.9026345
Burglary/ Larceny/ Robbery,2,1,2014,5,5,300 W HOPE AVE,40.7389021,-111.8996891
Burglary/ Larceny/ Robbery,2,1,2014,6,5,1100 E WILMINGTON AVE,40.7338304,-111.8591491
Burglary/ Larceny/ Robbery,2,1,2014,3,5,100 E 800 S,40.75194520000001,-111.8880685
Drugs,2,1,2014,7,5,200 S SURPRISE AVE,40.764796200000006,-111.8917097
Traffic,2,1,2014,6,5,STATE ST / KENSINGTON AVE,40.7364728,-111.8877563
Drugs,2,1,2014,5,5,300 S 600 W,40.7635558,-111.9087296
Burglary/ Larceny/ Robbery,2,1,2014,7,5,00 N 800 W,40.7720248,-111.9135695
Traffic,2,1,2014,4,5,00 W 600 S,40.755578,-111.8952852
Traffic,2,1,2014,3,5,3100 W 2100 S,40.7279195,-111.9655314
Traffic,2,1,2014,6,5,GLADIOLA ST / DIRECTORS RW,40.74576589999999,-111.9721171
Traffic,2,1,2014,3,5,1300 E 400 S,40.7643152,-111.8535022
Traffic,2,1,2014,7,5,700 S POST ST,40.75411070000001,-111.9182196
Burglary/ Larceny/ Robbery,2,1,2014,5,5,700 S STATE ST,40.753716,-111.887661
Traffic,2,1,2014,8,5,2100 S FOOTHILL DR,40.725849,-111.8148776
Assault,2,1,2014,6,5,700 S 300 E,40.7541235,-111.8825002
Damaged Property,2,1,2014,6,5,00 S 1100 E,40.686596,-111.860295
Drugs,2,1,2014,6,5,400 W 300 S,40.762841,-111.9028043
Burglary/ Larceny/ Robbery,2,1,2014,8,5,600 W NORTH TEMPLE ST,40.77156779999999,-111.9085032
Burglary/ Larceny/ Robbery,2,1,2014,7,5,1100 E BRICKYARD RD,40.7015898,-111.8597243
Drugs,2,1,2014,7,5,1400 S 1000 W,40.739189,-111.91972
Burglary/ Larceny/ Robbery,2,1,2014,7,5,100 N 900 W,40.7717239,-111.9167242
Assault,2,1,2014,7,5,300 E REDONDO AVE,40.72632460000001,-111.8825583
Burglary/ Larceny/ Robbery,2,1,2014,7,5,1100 E BRICKYARD RD,40.7015898,-111.8597243
Drugs,2,1,2014,8,5,700 N 900 W,40.7845768,-111.9168413
Burglary/ Larceny/ Robbery,2,1,2014,4,5,1100 S MONTGOMERY ST,40.7455317,-111.9360498
Burglary/ Larceny/ Robbery,2,1,2014,8,5,3200 S RICHMOND ST,40.7012805,-111.8554678
Traffic,2,1,2014,7,5,EMERY ST / ILLINOIS AVE,40.7441189,-111.92468390000002
Traffic,2,1,2014,8,5,1700 S 1300 E,40.7332854,-111.8539357
Assault,2,1,2014,8,5,200 N 900 W,40.7737438,-111.9162898
Assault,2,1,2014,8,5,100 W LAYTON AVE,40.7298795,-111.893991
Assault,2,1,2014,5,5,800 W OURAY AVE,40.7790222,-111.91397
Traffic,2,1,2014,7,5,10TH AVE 650 E,40.7830111,-111.8775482
Traffic,2,1,2014,6,5,2100 S STATE ST,40.7266963,-111.88732040000002
Traffic,2,1,2014,6,5,500 N 900 W,40.78032320000001,-111.9167228
Traffic,2,1,2014,6,5,2100 S 700 W,40.72696320000001,-111.9121928
Traffic,2,1,2014,4,5,KENSINGTON AVE / STATE ST,40.7364728,-111.8877563
Drugs,2,1,2014,8,5,200 S SURPRISE AVE,40.764796200000006,-111.8917097
Traffic,2,1,2014,8,5,200 S 1300 E,40.76481620000001,-111.85421200000002
Traffic,2,1,2014,7,5,2100 S 700 E,40.72497570000001,-111.8724847
Burglary/ Larceny/ Robbery,2,1,2014,2,5,200 W SOUTH TEMPLE ST,40.769411700000006,-111.8971168
Drugs,2,1,2014,6,5,00 S RIO GRANDE ST,40.7631836,-111.9045285
Traffic,2,1,2014,6,5,300 S 5600 W,40.7558352,-112.02496409999998
Traffic,2,1,2014,7,5,100 S 900 E,40.7671833,-111.8653373
Burglary/ Larceny/ Robbery,2,1,2014,5,5,1400 S ROBERTA ST,40.7391258,-111.88392749999998
Drugs,2,1,2014,6,5,500 S POST ST,40.7584603,-111.91824979999998
Traffic,2,1,2014,7,5,3600 W 300 N,40.77585850000001,-111.9094718
Burglary/ Larceny/ Robbery,2,1,2014,4,5,100 N MAIN ST,40.7716016,-111.8911002
Damaged Property,2,1,2014,3,5,2900 W DIRECTORS RW,40.7458021,-111.9626919
Burglary/ Larceny/ Robbery,2,1,2014,6,5,300 E 1300 S,40.741631700000006,-111.8824737
