address,latitude,longitude
"00 E / 400 S, Salt Lake City, Utah",40.76129299999999,-111.869658
"00 E / MAIN ST, Salt Lake City, Utah",40.7645225,-111.8905343
"00 E 100 S, Salt Lake City, Utah",40.7676525,-111.881925
"00 E 1300 S, Salt Lake City, Utah",40.7419959,-111.8887599
"00 E 1700 S, Salt Lake City, Utah",40.7335004,-111.8532941
"00 E 200 E, Salt Lake City, Utah",40.7620648,-111.8848994
"00 E 200 S, Salt Lake City, Utah",40.7647592,-111.8864492
"00 E 2100 S, Salt Lake City, Utah",40.7256579,-111.8753288
"00 E 500 S, Salt Lake City, Utah",40.758068,-111.875251
"00 E 700 S, Salt Lake City, Utah",40.7541346,-111.8711518
"00 E 800 S, Salt Lake City, Utah",40.751661,-111.889712
"00 E 900 S, Salt Lake City, Utah",40.750107,-111.876395
"00 E BROADWAY ST, Salt Lake City, Utah",40.7624924,-111.8839256
"00 E BROADWAY, Salt Lake City, Utah",40.7631476,-111.8876053
"00 E CHURCHILL DR, Salt Lake City, Utah",40.689212,-111.846305
"00 E COATSVILLE AVE, Salt Lake City, Utah",40.731451,-111.8796372
"00 E COLUMBUS CT, Salt Lake City, Utah",40.7850584,-111.8888
"00 E CORDELIA AVE, Salt Lake City, Utah",40.774866,-111.868249
"00 E DORCHESTER DR, Salt Lake City, Utah",40.7889853,-111.8888212
"00 E EDGECOMBE DR, Salt Lake City, Utah",40.7873148,-111.8884042
"00 E EXCHANGE PL, Salt Lake City, Utah",40.761315,-111.890123
"00 E GALLIVAN AVE, Salt Lake City, Utah",40.7634979,-111.8893718
"00 E HARRISON AVE, Salt Lake City, Utah",40.7399279,-111.8596191
"00 E HARVARD AVE, Salt Lake City, Utah",40.7449019,-111.8633397
"00 E HERBERT AVE, Salt Lake City, Utah",40.7464636,-111.8613211
"00 E HILLSIDE AVE, Salt Lake City, Utah",40.7745155,-111.8906839
"00 E KELSEY AVE, Salt Lake City, Utah",40.7436813,-111.8881384
"00 E KENSINGTON AVE, Salt Lake City, Utah",40.736901,-111.890163
"00 E KNIGHTSBRIDGE LN, Salt Lake City, Utah",40.7878711,-111.8916532
"00 E NORTH TEMPLE ST, Salt Lake City, Utah",40.7711371,-111.8892502
"00 E REDONDO AVE, Salt Lake City, Utah",40.7263329,-111.8739513
"00 E WOOD AVE, Salt Lake City, Utah",40.7351451,-111.8596308
"00 E ZANE AVE, Salt Lake City, Utah",40.7805146,-111.8886544
"00 N  RIO GRANDE ST, Salt Lake City, Utah",40.7631836,-111.9045285
"00 N 1000 W, Salt Lake City, Utah",40.7724721,-111.9212366
"00 N 2400 W, Salt Lake City, Utah",40.7705245,-111.9578052
"00 N 300 W, Salt Lake City, Utah",40.7721041,-111.8992397
"00 N 3700 W, Salt Lake City, Utah",40.7763095,-111.978534
"00 N 3900 W, Salt Lake City, Utah",40.7607793,-111.8910474
"00 N 4100 W, Salt Lake City, Utah",40.6826831,-111.9895432
"00 N 500 W, Salt Lake City, Utah",40.7745531,-111.9064071
"00 N 550 W, Salt Lake City, Utah",40.7607793,-111.8910474
"00 N 600 W, Salt Lake City, Utah",40.7706088,-111.9088858
